Title,Game,player1,player2
Saturday Trials 4 T8 Winners Quarters - fourside (Panda) vs PlayboiFunyuns (King),Tekken 8,fourside,PlayboiFunyuns
Saturday Trials 4 T8 Winners R1 - JonnyBoi (Dragunov) vs Asylum (Asuka),Tekken 8,JonnyBoi,Asylum
Saturday Trials 4 T8 Winners R1 - YellowFlash98 (Steve) vs Mangocopter (Yoshimitsu),Tekken 8,YellowFlash98,Mangocopter
Saturday Trials 4 T8 Winners R2 - Ola (Eddy) vs Mac11jacko (Bryan),Tekken 8,Ola,Mac11jacko
Saturday Trials 4 T8 Winners R2 - TaishouNara (Xiaoyu) vs TiZ (Lili),Tekken 8,TaishouNara,TiZ
Saturday Trials 4 T8 Winners R2 - fourside (Panda) vs JonnyBoi (Dragunov),Tekken 8,fourside,JonnyBoi
Saturday Trials 4 T8 Winners Semis - PlayboiFunyuns (King) vs Sol Naciente (King),Tekken 8,PlayboiFunyuns,Sol Naciente
Saturday Trials 4 T8 Winners Semis - RevantTillywink (King) vs Ola (Eddy),Tekken 8,RevantTillywink,Ola
Saturday Trials 4 VF5 Grand Final - Sente (Aoi) vs Dandy J (T-Arashi),Virtua Fighter 5,Sente,Dandy J
Saturday Trials 4 VF5 Losers Final - Sente (Aoi) vs DGISALWAYS (Kage),Virtua Fighter 5,Sente,DGISALWAYS
Saturday Trials 4 VF5 Losers Quarters - TaishouNara (Lei-Fei) vs PookieTheBEAR (Vanessa),Virtua Fighter 5,TaishouNara,PookieTheBEAR
Saturday Trials 4 VF5 Losers Quarters - WarpWhistle (Lau) vs DGISALWAYS (Kage),Virtua Fighter 5,WarpWhistle,DGISALWAYS
Saturday Trials 4 VF5 Losers Semis - DGISALWAYS (Kage) vs TaishouNara (Lei-Fei),Virtua Fighter 5,DGISALWAYS,TaishouNara
Saturday Trials 4 VF5 Winners Final - Dandy J (T-Arashi) vs Sente (Aoi),Virtua Fighter 5,Dandy J,Sente
Saturday Trials 4 VF5 Winners Semis - Dandy J (Kage) vs WarpWhistle (Lau),Virtua Fighter 5,Dandy J,WarpWhistle
Saturday Trials 5 GGST Grand Final - Kshuewhatdamoo (Johnny) vs Fat (Bridget),Guilty Gear: Strive,Kshuewhatdamoo,Fat
Saturday Trials 5 GGST Losers Final - mooni (Bridget) vs Fat (Bridget),Guilty Gear: Strive,mooni,Fat
Saturday Trials 5 GGST Losers Quarters - WiseMysticTree (Millia) vs Mangocopter (Potemkin),Guilty Gear: Strive,WiseMysticTree,Mangocopter
"Saturday Trials 5 GGST Losers Quarters - mooni (Bridget) vs Yemma (Happy Chaos, Elphelt)",Guilty Gear: Strive,mooni,Yemma
Saturday Trials 5 GGST Losers R4 - mooni (Bridget) vs ThereGoesMySanity (May),Guilty Gear: Strive,mooni,ThereGoesMySanity
Saturday Trials 5 GGST Losers R5 - Cookie (Sol) vs mooni (Bridget),Guilty Gear: Strive,Cookie,mooni
Saturday Trials 5 GGST Losers R5 - jaqworld (Leo) vs Mangocopter (Potemkin),Guilty Gear: Strive,jaqworld,Mangocopter
Saturday Trials 5 GGST Losers Semis - Mangocopter (Ky) vs mooni (Nagoriyuki),Guilty Gear: Strive,Mangocopter,mooni
Saturday Trials 5 GGST Winners Final - Fat (Bridget) vs Kshuewhatdamoo (Venom),Guilty Gear: Strive,Fat,Kshuewhatdamoo
Saturday Trials 5 GGST Winners Quarters - Mangocopter (Potemkin) vs Fat (Bridget),Guilty Gear: Strive,Mangocopter,Fat
Saturday Trials 5 GGST Winners Quarters - WiseMysticTree (Millia) vs Cookie (Sol),Guilty Gear: Strive,WiseMysticTree,Cookie
"Saturday Trials 5 GGST Winners Quarters - Yemma (A.B.A, Elphelt) vs jaqworld (Leo)",Guilty Gear: Strive,Yemma,jaqworld
Saturday Trials 5 GGST Winners Quarters - mooni (Bridget) vs Kshuewhatdamoo (Venom),Guilty Gear: Strive,mooni,Kshuewhatdamoo
Saturday Trials 5 GGST Winners R1 - Xander (Sol) vs Speech (Potemkin),Guilty Gear: Strive,Xander,Speech
Saturday Trials 5 GGST Winners R1 - stink (Sol) vs Cookie (Sol),Guilty Gear: Strive,stink,Cookie
Saturday Trials 5 GGST Winners R2 - Mangocopter (Potemkin) vs ThereGoesMySanity (May),Guilty Gear: Strive,Mangocopter,ThereGoesMySanity
"Saturday Trials 5 GGST Winners Semis - Fat (Bridget) vs Yemma (Happy Chaos, Elphelt)",Guilty Gear: Strive,Fat,Yemma
Saturday Trials 5 GGST Winners Semis - WiseMysticTree (Millia) vs Kshuewhatdamoo (Venom),Guilty Gear: Strive,WiseMysticTree,Kshuewhatdamoo
Saturday Trials 5 RoA2 Grand Final - TimeGear (Olympia) vs Kafonn (Olympia),Rivals 2,TimeGear,Kafonn
Saturday Trials 5 RoA2 Losers Final - Squiggles (Zetterburn) vs Kafonn (Olympia),Rivals 2,Squiggles,Kafonn
Saturday Trials 5 RoA2 Winners Final - TimeGear (Olympia) vs Kafonn (Olympia),Rivals 2,TimeGear,Kafonn
Saturday Trials 5 RoA2 Winners Quarters - Cornball (Olympia) vs Kafonn (Olympia),Rivals 2,Cornball,Kafonn
Saturday Trials 5 RoA2 Winners Quarters - DLV (Olympia) vs Squiggles (Zetterburn),Rivals 2,DLV,Squiggles
Saturday Trials 5 RoA2 Winners Semis - Carrot (Ranno) vs Kafonn (Olympia),Rivals 2,Carrot,Kafonn
Saturday Trials 5 RoA2 Winners Semis - TimeGear (Olympia) vs DLV (Olympia),Rivals 2,TimeGear,DLV
Saturday Trials 5 SF6 Grand Final - Squall (Mai) vs GalaxyBrAn (Blanka),Street Fighter 6,Squall,GalaxyBrAn
Saturday Trials 5 SF6 Losers Final - Squall (Mai) vs LegendaryJiggXV (Ryu),Street Fighter 6,Squall,LegendaryJiggXV
Saturday Trials 5 SF6 Losers Quarters - Ichi (Chun-Li) vs SmokingSeabass (Marisa),Street Fighter 6,Ichi,SmokingSeabass
"Saturday Trials 5 SF6 Losers Quarters - Joe_Yeet (Marisa, Blanka) vs LegendaryJiggXV (Ryu)",Street Fighter 6,Joe_Yeet,LegendaryJiggXV
Saturday Trials 5 SF6 Losers Semis - Ichi (Chun-Li) vs LegendaryJiggXV (Ryu),Street Fighter 6,Ichi,LegendaryJiggXV
Saturday Trials 5 SF6 Winners Final - Squall (Mai) vs GalaxyBrAn (Blanka),Street Fighter 6,Squall,GalaxyBrAn
Saturday Trials 5 SF6 Winners Quarters - Gooniekorn (Mai) vs LegendaryJiggXV (Ryu),Street Fighter 6,Gooniekorn,LegendaryJiggXV
Saturday Trials 5 SF6 Winners Quarters - Servo (JP) vs Ichi (Chun-Li),Street Fighter 6,Servo,Ichi
Saturday Trials 5 SF6 Winners Quarters - SmokingSeabass (Marisa) vs GalaxyBrAn (Blanka),Street Fighter 6,SmokingSeabass,GalaxyBrAn
Saturday Trials 5 SF6 Winners R1 - LegendaryJiggXV (Ryu) vs Jelani (Marisa),Street Fighter 6,LegendaryJiggXV,Jelani
Saturday Trials 5 SF6 Winners R2 - Ichi (Chun-Li) vs ARandomCat (Rashid),Street Fighter 6,Ichi,ARandomCat
Saturday Trials 5 SF6 Winners R2 - Jmryu (A.K.I.) vs Squall (Mai),Street Fighter 6,Jmryu,Squall
Saturday Trials 5 SF6 Winners Semis - Ichi (Chun-Li) vs Squall (Mai),Street Fighter 6,Ichi,Squall
Saturday Trials 5 SF6 Winners Semis - LegendaryJiggXV (Ryu) vs GalaxyBrAn (Blanka),Street Fighter 6,LegendaryJiggXV,GalaxyBrAn
Saturday Trials 5 SSBU Grand Final - Arkdee (Palutena) vs JeJaJeJa (Kirby),Ultimate,Arkdee,JeJaJeJa
"Saturday Trials 5 SSBU Losers Final - Arkdee (Palutena) vs Rin (Greninja, Pokémon Trainer)",Ultimate,Arkdee,Rin
Saturday Trials 5 SSBU Losers Quarters - TrueDingus (Bayonetta) vs Apparition (Palutena),Ultimate,TrueDingus,Apparition
Saturday Trials 5 SSBU Losers Semis - TrueDingus (Bayonetta) vs Rin (Greninja),Ultimate,TrueDingus,Rin
"Saturday Trials 5 SSBU Losers T8 - Rin (Greninja, Pokémon Trainer) vs Squiggles (Mii Brawler, Lucas)",Ultimate,Rin,Squiggles
Saturday Trials 5 SSBU Winners Final - JeJaJeJa (Kirby) vs Arkdee (Palutena),Ultimate,JeJaJeJa,Arkdee
Saturday Trials 5 SSBU Winners Quarters - TimeGear (Min Min) vs Dreamless (Mii Brawler),Ultimate,TimeGear,Dreamless
Saturday Trials 5 SSBU Winners Semis - TimeGear (Min Min) vs Arkdee (Palutena),Ultimate,TimeGear,Arkdee
Saturday Trials 5 SSBU Winners Semis - TrueDingus (Bayonetta) vs JeJaJeJa (Kirby),Ultimate,TrueDingus,JeJaJeJa
"Saturday Trials 5 T8 Grand Final - Victeemo (Anna, Nina) vs Sol Naciente (King)",Tekken 8,Victeemo,Sol Naciente
"Saturday Trials 5 T8 Losers Final - OtherHiro (Lidia, Azucena) vs Sol Naciente (King)",Tekken 8,OtherHiro,Sol Naciente
Saturday Trials 5 T8 Losers Quarters - Killzoneant (Eddy) vs OtherHiro (Lidia),Tekken 8,Killzoneant,OtherHiro
Saturday Trials 5 T8 Losers Quarters - Mr J_7B (Victor) vs BigBates (Kazuya),Tekken 8,Mr J_7B,BigBates
Saturday Trials 5 T8 Losers Semis - OtherHiro (Lidia) vs Mr J_7B (Victor),Tekken 8,OtherHiro,Mr J_7B
Saturday Trials 5 T8 Winners Final - Sol Naciente (King) vs Victeemo (Anna),Tekken 8,Sol Naciente,Victeemo
Saturday Trials 5 T8 Winners Semis - Sol Naciente (King) vs Mr J_7B (Victor),Tekken 8,Sol Naciente,Mr J_7B
Saturday Trials 5 T8 Winners Semis - Victeemo (Anna) vs Killzoneant (Eddy),Tekken 8,Victeemo,Killzoneant
